recordKey,detailId,mediaId,segmentIndex,tcStart,tcEnd,startSeconds,endSeconds,segmentLabel,transcriptSnippet,personMentions,placeMentions,confidence,reviewedBy
0706e88f-693e-9414-ee3f-45d5ec036a6b::b8147f07-07aa-de59-2f6d-68b45af7d729,0706e88f-693e-9414-ee3f-45d5ec036a6b,b8147f07-07aa-de59-2f6d-68b45af7d729,1,00:00:00.000,00:05:31.000,0,331,full item,,,,,
079975c9-b0dd-6678-d838-602f2c8a668e::7f90d5a9-f9dd-15bc-40b8-a19cc3e54a1f,079975c9-b0dd-6678-d838-602f2c8a668e,7f90d5a9-f9dd-15bc-40b8-a19cc3e54a1f,1,00:00:00.000,00:08:09.000,0,489,full item,,,,,
084a6065-1d19-a425-e60b-3d82d070dc7b::25aedd8d-f713-4afb-1ad9-407d4ba18171,084a6065-1d19-a425-e60b-3d82d070dc7b,25aedd8d-f713-4afb-1ad9-407d4ba18171,1,00:00:00.000,00:06:10.000,0,370,full item,,,,,
08cdaf64-4008-ec8b-d193-78623fd717f3::009c33ae-286a-e4b5-704b-61270ba58dfe,08cdaf64-4008-ec8b-d193-78623fd717f3,009c33ae-286a-e4b5-704b-61270ba58dfe,1,00:00:00.000,00:01:09.000,0,69,full item,,,,,
090c8aac-13b8-9857-a065-cf53ec85d69b::6bb15664-23ca-447d-6612-b2a43e14bffb,090c8aac-13b8-9857-a065-cf53ec85d69b,6bb15664-23ca-447d-6612-b2a43e14bffb,1,00:00:00.000,00:03:41.000,0,221,full item,,,,,
0948dfa6-ffc0-902f-a12e-73e1b7703396::d51a4caa-b84b-9827-c80a-f76707ee068d,0948dfa6-ffc0-902f-a12e-73e1b7703396,d51a4caa-b84b-9827-c80a-f76707ee068d,1,00:00:00.000,00:32:54.000,0,1974,full item,,,,,
09bd10b2-6414-5c6d-f8cf-a43e12d77a2d::48842e52-75b5-ae8e-1f07-6cc24bd50dc2,09bd10b2-6414-5c6d-f8cf-a43e12d77a2d,48842e52-75b5-ae8e-1f07-6cc24bd50dc2,1,00:00:00.000,00:04:10.000,0,250,full item,,,,,
09f80d7d-1a03-9b01-77c9-2d8f071799b9::9cf166cd-230a-ac50-352f-c87beca8e4eb,09f80d7d-1a03-9b01-77c9-2d8f071799b9,9cf166cd-230a-ac50-352f-c87beca8e4eb,1,00:00:00.000,00:03:51.000,0,231,full item,,,,,
0a47622c-ee37-7e42-5c32-185aebe8a7de::a058d76b-aa47-81d9-32f5-8c6d2ae43bf4,0a47622c-ee37-7e42-5c32-185aebe8a7de,a058d76b-aa47-81d9-32f5-8c6d2ae43bf4,1,00:00:00.000,00:01:53.000,0,113,full item,,,,,
0b13fd05-ba26-f45e-56cc-5925987da616::5441a444-93fd-0ebb-f004-3f61cb5117bd,0b13fd05-ba26-f45e-56cc-5925987da616,5441a444-93fd-0ebb-f004-3f61cb5117bd,1,00:00:00.000,00:30:24.000,0,1824,full item,,,,,
0b304b8d-44f8-2909-d9c5-2e80e8b1f199::b2439540-d98c-2a34-e9f9-402455748448,0b304b8d-44f8-2909-d9c5-2e80e8b1f199,b2439540-d98c-2a34-e9f9-402455748448,1,00:00:00.000,00:01:46.000,0,106,full item,,,,,
0b56eb9a-3bed-ef9e-b08f-9d5c7ceda674::68398112-34b6-1c7f-e724-20a0c8bdd50c,0b56eb9a-3bed-ef9e-b08f-9d5c7ceda674,68398112-34b6-1c7f-e724-20a0c8bdd50c,1,00:00:00.000,00:01:56.000,0,116,full item,,,,,
0b6e583e-7681-b8cb-8b0c-7dd3b5c3e8e4::69bd10de-fe64-dd49-b1aa-4c90e0f9a736,0b6e583e-7681-b8cb-8b0c-7dd3b5c3e8e4,69bd10de-fe64-dd49-b1aa-4c90e0f9a736,1,00:00:00.000,00:01:28.000,0,88,full item,,,,,
0c0594cd-3c7a-9f06-459a-df6371bd4b6b::2e0e72c7-0ed4-4088-2965-d7c5c608706d,0c0594cd-3c7a-9f06-459a-df6371bd4b6b,2e0e72c7-0ed4-4088-2965-d7c5c608706d,1,00:00:00.000,00:03:34.000,0,214,full item,,,,,
0c3ebf2f-99aa-b349-12cc-e340920b750a::b4ec8b5e-4ac1-1677-07c5-248df8a1ce8b,0c3ebf2f-99aa-b349-12cc-e340920b750a,b4ec8b5e-4ac1-1677-07c5-248df8a1ce8b,1,00:00:00.000,00:01:46.000,0,106,full item,,,,,
0c790d38-4df9-9a1e-2913-1227a264dda8::f1a45694-95ec-a9b1-e265-77e9cefacdcd,0c790d38-4df9-9a1e-2913-1227a264dda8,f1a45694-95ec-a9b1-e265-77e9cefacdcd,1,00:00:00.000,00:22:00.000,0,1320,full item,,,,,
0cbd7749-5160-47e3-7719-72a684252e76::143ffdb5-2d43-c5ed-8291-103326147258,0cbd7749-5160-47e3-7719-72a684252e76,143ffdb5-2d43-c5ed-8291-103326147258,1,00:00:00.000,00:03:24.000,0,204,full item,,,,,
0da1e206-9e9f-6dd0-675b-6979f6e181d2::a055937f-0472-4af9-41f1-06e0725c7efb,0da1e206-9e9f-6dd0-675b-6979f6e181d2,a055937f-0472-4af9-41f1-06e0725c7efb,1,00:00:00.000,00:01:21.000,0,81,full item,,,,,
0daaddf1-337e-5285-5701-e42a67cdc93e::72f32f13-1e7d-0037-4fde-e0ceb054de3a,0daaddf1-337e-5285-5701-e42a67cdc93e,72f32f13-1e7d-0037-4fde-e0ceb054de3a,1,00:00:00.000,00:01:22.000,0,82,full item,,,,,
0dcb433e-7736-259c-4654-6a74fc72dfed::c8f89242-98d3-4b93-388b-a7930332013d,0dcb433e-7736-259c-4654-6a74fc72dfed,c8f89242-98d3-4b93-388b-a7930332013d,1,00:00:00.000,00:00:53.000,0,53,full item,,,,,
0dcd7c21-6e09-24c9-8935-e306de97e018::7fc9fd81-e242-ce3d-31e5-3a285f68f2a6,0dcd7c21-6e09-24c9-8935-e306de97e018,7fc9fd81-e242-ce3d-31e5-3a285f68f2a6,1,00:00:00.000,00:03:23.000,0,203,full item,,,,,
0e87abfa-99a1-c038-e07b-b35756a695d8::07cd9672-1a76-5fcf-d7fc-1a9766421e85,0e87abfa-99a1-c038-e07b-b35756a695d8,07cd9672-1a76-5fcf-d7fc-1a9766421e85,1,00:00:00.000,00:00:36.000,0,36,full item,,,,,
0e952e8b-a6eb-de67-8e35-c08e4d56f4ec::795a2162-b72c-59d0-e876-637748eec704,0e952e8b-a6eb-de67-8e35-c08e4d56f4ec,795a2162-b72c-59d0-e876-637748eec704,1,00:00:00.000,00:01:59.000,0,119,full item,,,,,
