recordid;id;year;page;litt_std;district_of_divisie;loc_org;loc_std;river_or_road;direction;plantation_std;plantation_org;plantation_id;psur_id;psur_id2;has_parts1_lab;has_parts1_id;has_parts2_lab;has_parts2_id;has_parts3_lab;has_parts3_id;has_parts4_lab;has_parts4_id;part_of_lab;part_of_id;reference_org;owned_by_lab;owned_by_id;owned_by_id2;size_std;product_std;enslaved_norm;enslaved_shared_with;function;additional_info;deserted;lot;administrateurs;directeuren;eigenaren;administrateurs_in_Europa;administrateurs_in_suriname;blank-officier;slaven;sranantongo_naam;plantage_mannelijke_niet_vrije_bewoners;plantage_totaal_niet_vrije_bewoners;plantage_vrouwelijke_niet_vrije_bewoners;privé_mannelijke_niet_vrije_bewoners;privé_totaal_niet_vrije_bewoners;privé_vrouwelijke_niet_vrije_bewoners;soort_van_molen;totaal_generaal_bewoners;vrije_bewoners;generaal_totaal_slaven;generale_macht_slaven_geschikt_tot_werken_plantages;generale_macht_slaven_geschikt_tot_werken_privé;generale_macht_slaven_ongeschikt_tot_werken_plantages;generale_macht_slaven_ongeschikt_tot_werken_privé;totaal_slaven_op_de_plantages_aanwezig_geschikt_tot_werk;totaal_slaven_op_de_plantages_aanwezig_ongeschikt_tot_werk;vrije_personen_op_plantages_jongens;vrije_personen_op_plantages_mannen;vrije_personen_op_plantages_meisjes;vrije_personen_op_plantages_vrouwen;vrije_personen_op_plantages_totaal;werktuig_stoom;werktuig_water
1828-100-808;3917;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Windsor-Forest en Sara's-lust;Windsorforest en Sara'slust.;Q131349099;;;Windsor-Forest;Q59134146;Sara's-lust;Q59133269;;;;;;;;;;;;hout;;;;;;;J. de la Parra, Jr.;B. de la Parra.;J. de la Parra, Jr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-809;3918;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Haarlem;Haarlem;Q59115665;;;;;;;;;;;;;;;;;;hout;;;;;;;M. Fernandes en Wed. J. Fernandes.;J. Rudelsom.;M. Fernandes en Wed. J. Pernandes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-810;3919;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Wilhelmina Catharina Frederica;Wilhelmina Catharina Frederica;Q59134116;PSUR0355;;;;;;;;;;Wilhelmina Catharina Frederica en De Nieuwe Hoop;Q131349004;;;;;;hout;;;;;;;S. Fernandes en J.A.Bo. de Mesquita.;J.H.A. Arnaud.;S. Fernandes en J.A.Bo. de Mesquita.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-811;3920;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;De Nieuwe Hoop;De Nieuwe Hoop.;Q124830243;PSUR0252;;;;;;;;;;Wilhelmina Catharina Frederica en De Nieuwe Hoop;Q131349004;;;;;;hout;;;;;;;J.A.Bo. de Mesquita.;L.A. de Mesquita.;J.A.Bo. de Mesquita.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-812;3921;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Pietersburg;Pietersburg;Q124831790;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;P. Puyman.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-813;3922;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Carolina;Carolina;Q59115369;;;;;;;;;;;;;;;;;1000;hout;;;;;;;C.J. Grunberg.;C.J. Grunberg.;C.J. Grunberg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-814;3923;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Antigua;Antigua;Q59115163;;;;;;;;;;;;;;;;;;hout;;;;;;;A.G. Fonceca, Jr.;A.G. Fonceca, Jr.;A.G. Fonceca, Jr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-815;3924;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Jacobslust;Jacobslust;Q59115719;;;;;;;;;;;;;;;;;;hout;;;;;;;.J.H Zeegelaar.;J.H. Zeegelaar;C. Louisa Böhm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-816;3925;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;De Uitkijk;De Uitkijk;Q59115486;;;;;;;;;;;;;;;;;;suiker en kost;;;;;;;Q.G. Pichot.;J.A. Serquet.;Wed. G.N. Liuck, geb. Vogt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-817;3926;1828;100;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Eigenrust;Eigenrust;Q59115543;;;;;;;;;;;;;;;;;;kost;;;;;;;H.W. Schram en H. Louisz.;H.W. Schram.;H.W. Schram en H. Louisz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-818;3927;1828;100;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Bijgeval;Bijgeval;Q59115250;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;S. Abendanon.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-819;3928;1828;100;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Friderici's gift;Friderici'sgift;Q59115596;;;;;;;;;;;;;;;;;;koffie en cacao;;;;;;;J.H. Masruan en J.C.F. Walther.;J.P.L Greede.;Erv. J.W. Beeldsuijder.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-820;3929;1828;100;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Tyrol;Tyrol;Q59133965;;;;;;;;;;;;;;;;;;koffie en cacao;;;;;;;J. Evans.;J.C. Heshuizen.;J. Evans en Janc Humprie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-821;3930;1828;100;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;De Goede Verwachting;De goede Verwachting;Q59115449;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;J.H. Hek.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-822;3931;1828;100;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Voorzorg Beneden-Saramacca;Voorzorg;Q59134011;;;;;;;;;;;;;;;;;;;;;etablissement;Etabl. der Boässiers, verpl. in Rio Coppename. onder den naam v. Java.;;;Rd. Contrarolleur van Financiën.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-823;3932;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Johanna Catharina;Johanna Catharina;Q59115735;PSUR0150;;;;;;;;;;;;;;;;;koffie en cacao;;;;;;;D. Danjon.;C. Benkens.;P. Pepin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
