lpId,adres1885,straatnaam1885,zoneType,lpAddressStatus,isLinkableAddress,linkingStatus,hasGeometry,candidateCount,candidateSummary
2189,EBW199,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,4,3290 | 1885 | 1e BW 199 | Tweede Dwarsstraat | 1885-exact-components+street || 3291 | 1885 | 1e BW 199 | Tweede Dwarsstraat | 1885-exact-components+street || 3292 | 1885 | 1e BW 199 | Tweede Dwarsstraat | 1885-exact-components+street || 3293 | 1885 | 1e BW 199 | Tweede Dwarsstraat | 1885-exact-components+street
2190,EBW200,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,1,3289 | 1885 | 1e BW 200 | Tweede Dwarsstraat | 1885-exact-components+street
2191,EBW201,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,1,3288 | 1885 | 1e BW 201 | Tweede Dwarsstraat | 1885-exact-components+street
2192,EBW202,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,3,3294 | 1885 | 1e BW 202 | Tweede Dwarsstraat | 1885-exact-components+street || 3295 | 1885 | 1e BW 202 | Tweede Dwarsstraat | 1885-exact-components+street || 3296 | 1885 | 1e BW 202 | Tweede Dwarsstraat | 1885-exact-components+street
2193,EBW203,Nepveugracht,renumbered-1885,address,yes,matched,yes,2,3281 | 1885 | 1e BW 203 | Nepveugracht | 1885-exact-components+street || 3282 | 1885 | 1e BW 203 | Nepveugracht | 1885-exact-components+street
2194,EBW204,Nepveugracht,renumbered-1885,address,yes,matched,yes,2,3276 | 1885 | 1e BW 204 | Nepveugracht | 1885-exact-components+street || 3277 | 1885 | 1e BW 204 | Nepveugracht | 1885-exact-components+street
2195,EBW205,Nepveugracht,renumbered-1885,address,yes,matched,yes,1,3274 | 1885 | 1e BW 205 | Nepveugracht | 1885-exact-components+street
2196,EBW207,Nepveugracht,renumbered-1885,address,yes,matched,yes,6,3380 | 1885 | 1e BW 207 | Nepveugracht | 1885-exact-components+street || 3381 | 1885 | 1e BW 207 | Nepveugracht | 1885-exact-components+street || 3382 | 1885 | 1e BW 207 | Nepveugracht | 1885-exact-components+street || 3385 | 1885 | 1e BW 207 | Nepveugracht | 1885-exact-components+street || 3386 | 1885 | 1e BW 207 | Nepveugracht | 1885-exact-components+street || 3387 | 1885 | 1e BW 207 | Nepveugracht | 1885-exact-components+street
2197,EBW206,Nepveugracht,renumbered-1885,address,yes,matched,yes,3,3388 | 1885 | 1e BW 206 b | Nepveugracht | 1885-fallback-core-only+street || 3389 | 1885 | 1e BW 206 a | Nepveugracht | 1885-fallback-core-only+street || 3390 | 1885 | 1e BW 206 a | Nepveugracht | 1885-fallback-core-only+street
2198,EBW208,Nepveugracht,renumbered-1885,address,yes,matched,yes,3,3526 | 1885 | 1e BW 208 | Nepveugracht | 1885-exact-components+street || 3527 | 1885 | 1e BW 208 | Nepveugracht | 1885-exact-components+street || 3529 | 1885 | 1e BW 208 | Nepveugracht | 1885-exact-components+street
2199,EBW209,Nepveugracht,renumbered-1885,address,yes,matched,yes,1,3528 | 1885 | 1e BW 209 | Nepveugracht | 1885-exact-components+street
2200,EBW210,Nepveugracht,renumbered-1885,address,yes,matched,yes,1,3517 | 1885 | 1e BW 210 | Nepveugracht | 1885-exact-components+street
