europeanaId,europeanaGuid,europeanaType,field,category,matchedTerm,matchedTermNormalized,canonicalName,matchSource,stmGazetteerId,termAmbiguityCount,surinameConfidence,isStrictSuriname,naturalHistoryFlag,title,snippet,plantationContextHint,streetContextHint,lowHangingSpecific,reviewBucket
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00961,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00961,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00964,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00964,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Groningen,groningen,Groningen,stm-gazetteer,stm-00830,3,probable,true,false,"Koningin Juliana ontving op paleis Soestdijk de heer Aboy Koni, het opperhoofd van de Saramaccaners in Suriname. Vlnr. dhr. Aboy Koni, koningin Juliana en dr. F.J.E.. Einaar [gevolmachtigd minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma",d minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma,false,false,false,ambiguous
/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Groningen,groningen,Groningen,stm-gazetteer,stm-00830,3,probable,true,false,"Koningin Juliana ontving op paleis Soestdijk de heer Aboy Koni, het opperhoofd van de Saramaccaners in Suriname. Vlnr. dhr. Aboy Koni, koningin Juliana en dr. F.J.E.. Einaar [gevolmachtigd minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma",d minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma,false,false,false,ambiguous
/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Groningen,groningen,Groningen,stm-gazetteer,stm-02245,3,probable,true,false,"Koningin Juliana ontving op paleis Soestdijk de heer Aboy Koni, het opperhoofd van de Saramaccaners in Suriname. Vlnr. dhr. Aboy Koni, koningin Juliana en dr. F.J.E.. Einaar [gevolmachtigd minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma",d minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma,false,false,false,ambiguous
/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Groningen,groningen,Groningen,stm-gazetteer,stm-02245,3,probable,true,false,"Koningin Juliana ontving op paleis Soestdijk de heer Aboy Koni, het opperhoofd van de Saramaccaners in Suriname. Vlnr. dhr. Aboy Koni, koningin Juliana en dr. F.J.E.. Einaar [gevolmachtigd minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma",d minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma,false,false,false,ambiguous
/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Groningen,groningen,Groningen,stm-gazetteer,stm-02384,3,probable,true,false,"Koningin Juliana ontving op paleis Soestdijk de heer Aboy Koni, het opperhoofd van de Saramaccaners in Suriname. Vlnr. dhr. Aboy Koni, koningin Juliana en dr. F.J.E.. Einaar [gevolmachtigd minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma",d minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma,false,false,false,ambiguous
/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_adb5b1ce_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Groningen,groningen,Groningen,stm-gazetteer,stm-02384,3,probable,true,false,"Koningin Juliana ontving op paleis Soestdijk de heer Aboy Koni, het opperhoofd van de Saramaccaners in Suriname. Vlnr. dhr. Aboy Koni, koningin Juliana en dr. F.J.E.. Einaar [gevolmachtigd minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma",d minister van Suriname]. De heer Aboy Koni is in Groningen behandeld voor reuma,false,false,false,ambiguous
